Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	MP ID	Term
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0004994	abnormal brain wave pattern
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001764	abnormal homeostasis
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0003806	abnormal nucleotide metabolism
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0000950	abnormal seizure response to pharmacological agent
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001957	apnea
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001265	decreased body size
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001262	decreased body weight
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001290	delayed eyelid opening
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0002183	gliosis
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0002628	hepatic steatosis
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001399	hyperactivity
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0000948	nonconvulsive seizures
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0000603	pale liver
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0001732	postnatal growth retardation
Adk	current symbol	MGI:87930	Adk	adenosine kinase	protein coding gene	MP:0011085	postnatal lethality, complete penetrance
Adnp	current symbol	MGI:1338758	Adnp	activity-dependent neuroprotective protein	protein coding gene	MP:0002085	abnormal embryonic tissue morphology
Adnp	current symbol	MGI:1338758	Adnp	activity-dependent neuroprotective protein	protein coding gene	MP:0011097	embryonic lethality between somite formation and embryo turning, complete penetrance
Adnp	current symbol	MGI:1338758	Adnp	activity-dependent neuroprotective protein	protein coding gene	MP:0000928	incomplete rostral neuropore closure
Adprhl1	current symbol	MGI:2442168	Adprhl1	ADP-ribosylhydrolase like 1	protein coding gene	
Akap2	current symbol	MGI:1306795	Akap2	A kinase (PRKA) anchor protein 2	protein coding gene	
Akap2	human synonym	MGI:1934601	Palm2	paralemmin 2	protein coding gene	
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0012688	abnormal heart ventricles weight
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0001731	abnormal postnatal growth
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0002908	delayed wound healing
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0001220	epidermal necrosis
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0005378	growth/size/body region phenotype
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0001792	impaired wound healing
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0002169	no abnormal phenotype detected
Ankrd1	current symbol	MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	protein coding gene	MP:0005389	reproductive system phenotype
Anp32e	current symbol	MGI:1913721	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	protein coding gene	MP:0001405	impaired coordination
Anp32e	current symbol	MGI:1913721	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	protein coding gene	MP:0001513	limb grasping
Anp32e	current symbol	MGI:1913721	Anp32e	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	protein coding gene	MP:0002169	no abnormal phenotype detected
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0002697	abnormal eye size
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0002098	abnormal vibrissa morphology
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0005385	cardiovascular system phenotype
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0001262	decreased body weight
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0005387	immune system phenotype
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0005633	increased circulating sodium level
Anxa6	current symbol	MGI:88255	Anxa6	annexin A6	protein coding gene	MP:0005600	increased ventricle muscle contractility
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002798	abnormal active avoidance behavior
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001362	abnormal anxiety-related response
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002182	abnormal astrocyte morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0004768	abnormal axonal transport
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002199	abnormal brain commissure morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002152	abnormal brain morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0005621	abnormal cell physiology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001502	abnormal circadian rhythm
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003062	abnormal coping response
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001454	abnormal cued conditioning behavior
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000812	abnormal dentate gyrus morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002572	abnormal emotion/affect behavior
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002065	abnormal fear/anxiety-related behavior
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002063	abnormal learning/memory/conditioning
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003313	abnormal locomotor activation
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001392	abnormal locomotor behavior
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002801	abnormal long term object recognition memory
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002207	abnormal long term potentiation
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008432	abnormal long term spatial reference memory
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000136	abnormal microglial cell morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002066	abnormal motor capabilities/coordination/movement
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003633	abnormal nervous system physiology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002882	abnormal neuron morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001943	abnormal respiration
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001413	abnormal response to new environment
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001463	abnormal spatial learning
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008414	abnormal spatial reference memory
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008428	abnormal spatial working memory
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0009538	abnormal synapse morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000787	abnormal telencephalon morphology
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002196	absent corpus callosum
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003329	amyloid beta deposits
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000604	amyloidosis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003354	astrocytosis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008035	behavioral arrest
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0005386	behavior/neurological phenotype
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0009404	centrally nucleated skeletal muscle fibers
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003996	clonic seizures
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0006082	CNS inflammation
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008226	decreased anterior commissure size
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001262	decreased body weight
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002175	decreased brain weight
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000781	decreased corpus callosum size
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002875	decreased erythrocyte cell number
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001417	decreased exploration in new environment
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0010053	decreased grip strength
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000208	decreased hematocrit
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002874	decreased hemoglobin content
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008222	decreased hippocampal commissure size
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002887	decreased susceptibility to pharmacologically induced seizures
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002183	gliosis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0005378	growth/size/body region phenotype
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000811	hippocampal neuron degeneration
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0005376	homeostasis/metabolism phenotype
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001399	hyperactivity
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001402	hypoactivity
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0004000	impaired passive avoidance behavior
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001522	impaired swimming
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001353	increased aggression towards mice
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001363	increased anxiety-related response
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003203	increased neuron apoptosis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002906	increased susceptibility to pharmacologically induced seizures
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002797	increased thigmotaxis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0009403	increased variability of skeletal muscle fiber size
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0005202	lethargy
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0008918	microgliosis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000749	muscle degeneration
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0000243	myoclonus
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0004510	myositis
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003631	nervous system phenotype
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003214	neurofibrillary tangles
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003224	neuron degeneration
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002169	no abnormal phenotype detected
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002083	premature death
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002083	premature death
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0001473	reduced long term potentiation
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0002064	seizures
App	current symbol	MGI:88059	App	amyloid beta (A4) precursor protein	protein coding gene	MP:0003997	tonic-clonic seizures
Arpc2	current symbol	MGI:1923959	Arpc2	actin related protein 2/3 complex, subunit 2	protein coding gene	MP:0002075	abnormal coat/hair pigmentation
Arpc2	current symbol	MGI:1923959	Arpc2	actin related protein 2/3 complex, subunit 2	protein coding gene	MP:0001262	decreased body weight
Arpc2	current symbol	MGI:1923959	Arpc2	actin related protein 2/3 complex, subunit 2	protein coding gene	MP:0010025	decreased total body fat amount
Arpc2	current symbol	MGI:1923959	Arpc2	actin related protein 2/3 complex, subunit 2	protein coding gene	MP:0005561	increased mean corpuscular hemoglobin
Asb2	current symbol	MGI:1929743	Asb2	ankyrin repeat and SOCS box-containing 2	protein coding gene	MP:0002376	abnormal dendritic cell physiology
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0003313	abnormal locomotor activation
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0005140	decreased cardiac muscle contractility
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0001417	decreased exploration in new environment
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0009749	enhanced behavioral response to addictive substance
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0000738	impaired muscle contractility
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0001363	increased anxiety-related response
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0001745	increased circulating corticosterone level
Atp1a1	current symbol	MGI:88105	Atp1a1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein coding gene	MP:0011100	preweaning lethality, complete penetrance
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0004924	abnormal behavior
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001502	abnormal circadian rhythm
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0002206	abnormal CNS synaptic transmission
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0005584	abnormal enzyme/coenzyme activity
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001406	abnormal gait
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0011617	abnormal habituation
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009940	abnormal hippocampus pyramidal cell morphology
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009435	abnormal miniature inhibitory postsynaptic currents
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0004811	abnormal neuron physiology
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0012289	abnormal non-rapid eye movement sleep pattern
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0012288	abnormal paradoxical sleep pattern
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0002327	abnormal respiratory function
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0003461	abnormal response to novel object
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009357	abnormal seizure response to inducing agent
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0011624	abnormal sensitization to xenobiotic
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0002634	abnormal sensorimotor gating
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001501	abnormal sleep pattern
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001463	abnormal spatial learning
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0008840	abnormal spike wave discharge
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001486	abnormal startle reflex
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0000801	abnormal temporal lobe morphology
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0008875	abnormal xenobiotic pharmacokinetics
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0003354	astrocytosis
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0005386	behavior/neurological phenotype
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0000947	convulsive seizures
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001364	decreased anxiety-related response
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001265	decreased body size
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001262	decreased body weight
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0012286	decreased frequency of paradoxical sleep
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009142	decreased prepulse inhibition
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001489	decreased startle reflex
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0005323	dystonia
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009749	enhanced behavioral response to addictive substance
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009713	enhanced conditioned place preference behavior
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0003858	enhanced coordination
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0009358	environmentally induced seizures
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0005376	homeostasis/metabolism phenotype
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0001399	hyperactivity
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0008918	microgliosis
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0011087	neonatal lethality, complete penetrance
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0003631	nervous system phenotype
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0002083	premature death
Atp1a1	human synonym	MGI:88107	Atp1a3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	protein coding gene	MP:0011100	preweaning lethality, complete penetrance
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0004543	abnormal sperm physiology
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0002675	asthenozoospermia
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0003961	decreased lean body mass
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0000242	impaired fertilization
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0005293	impaired glucose tolerance
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0003666	impaired sperm capacitation
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0009237	kinked sperm flagellum
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0001925	male infertility
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0009282	reduced hyperactivated sperm motility
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0005389	reproductive system phenotype
Atp1a1	human synonym	MGI:1351335	Atp1a4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	protein coding gene	MP:0005578	teratozoospermia
Atp1b1	current symbol	MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein coding gene	MP:0002972	abnormal cardiac muscle contractility
Atp1b1	current symbol	MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein coding gene	MP:0004215	abnormal myocardial fiber physiology
Atp1b1	current symbol	MGI:88108	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein coding gene	MP:0014181	abnormal respiratory epithelial sodium ion transmembrane transport
