#node1	node2
Actc1	Ctnnb1
Myom1	Casq2
Myh7	Unc45b
Myom1	Pygm
Actc1	Tcap
Pln	Myl2
Tmsb4x	Lims1
Pln	Mb
Tns1	Srl
Tpm1	Myoz2
Ttn	Pygm
Ctnna1	Spnb2
Cpt1b	Lpl
Srl	Mb
Pygm	Mb
Gata4	Atp2a2
Ttn	Cav3
Gja1	Ctnna1
Cav3	Ldb3
Myh6	Mb
Adprhl1	Csrp3
Ttn	Myh7
Actc1	Arpc2
Tbx20	Gata6
Casq2	Ldb3
Bzw1	Ctnnb1
Actc1	Casq2
Pln	Atp1a1
Myom1	Myl2
Hif1a	Hey2
Nppb	Myl2
Myh7	Myl4
Adprhl1	Casq2
Gja1	Myl2
Tbx20	Myl2
Pln	Lmod2
Myom1	Myoz2
Cav3	Actn2
Casq2	Mb
Adprhl1	Myl2
Adprhl1	Ldb3
Actn2	Parva
Actc1	Des
Myh7	Myh6
Actc1	Pln
Myom1	Mb
Pln	Srl
Myom1	Srl
Myom1	Csrp3
Des	Ldb3
Actc1	Mb
Ryr2	Myl2
Gja5	Myl2
Pygm	Csrp3
Myh6	Tbx20
Nppb	Myh6
Ttn	Mlip
Myh6	Adprhl1
Actc1	Ctnna1
Actn2	Ctnnd1
Mybpc3	Casq2
Ttn	Synpo2l
Hey2	Nkx2-5
Actn2	Cox8b
Cox8b	Tcap
Mdh1	Atp5o
Lmod2	Mb
Hand2	Myl2
Actn2	Cap2
Zmynd11	Smyd1
Myh6	Gja1
Ergic1	Sept7
Csnk1a1	Unc45b
Adprhl1	Myoz2
Cox8b	Ldb3
Synpo2l	Srl
Csrp3	Ryr2
Epb4.1l3	Spnb2
Pln	Adprhl1
Lmo7	Pdlim3
Tns1	Pdlim3
Actc1	Atp2a2
Mki67	Ctnnb1
Gja1	Atp2a2
Mybpc3	Ldb3
Myh6	Mlip
Actn2	Lmod2
Adprhl1	Mb
Adprhl1	Lmod2
Casq2	Tcap
Ttn	Adprhl1
Lmod2	Casq2
Nppb	Mb
Lmod2	Srl
Mlip	Ldb3
Cav3	Myom1
Cald1	Fhl2
Actn2	Pln
Mybpc3	Csrp3
Myom1	Des
Myh6	Pygm
Ttn	Cox8b
Myh7	Ldb3
Ttn	Trim55
Zmynd11	Smyd2
Ldb3	Asb2
Des	Asb2
Actn2	Synpo2l
Mlip	Srl
Trim63	Myoz2
Des	Srl
Igf2	Ctnna1
Lrrc10	Trim55
Cav3	Des
Pygm	Myoz2
Gata4	Ctnnb1
Myh6	Spnb2
Tns1	Ldb3
Pygm	Casq2
Myom1	Lmod2
Fhl2	Tcap
Nppb	Pln
Srl	Ryr2
Dcn	Postn
Igfbp5	Fhl2
Pygm	Myl2
Cox8b	Srl
Cav3	Pygm
Myom1	Asb2
Synpo2l	Ldb3
Myom1	Tpm1
Myh7	Spnb2
Hif1a	Id2
Tbx20	Hand2
Tpm1	Lmod2
Gja5	Gja1
Ppp1r14c	Ldb3
Actc1	Ryr2
Cav3	Csrp3
Stk39	Mrpl33
Adprhl1	Srl
Nppb	Csrp3
Pygm	Des
Smyd1	Unc45b
Actn2	Asb2
Rbpms	Dctn6
Myh6	Ppp1r14c
Cpt1b	Cox8b
Lrrc10	Cap2
Dcn	Cap2
Myoz2	Cox8b
Pln	Tcap
Tpm1	Myl12a
Cav3	Casq2
Smyd1	Hand2
Nppb	Ldb3
Actn2	Adprhl1
Tpm1	Mb
Myh6	Ankrd1
Mmadhc	Mmd
Myoz2	Ankrd1
Dcn	Lrrc10
Gja1	Ryr2
Actn2	Ryr2
Mlip	Casq2
Myoz2	Des
Pygm	Asb2
Myom1	Pln
Mlip	Csrp3
Tpm1	Cap2
Cav3	Myoz2
Mybpc3	Adprhl1
Gata6	Myl2
Myom1	Adprhl1
Pln	Mlip
Mrpl33	Atp5o
Cav3	Synpo2l
Actc1	Ankrd1
Ldb3	Cap2
Myom1	Cox8b
Ldb3	Ryr2
Pln	Ppp1r14c
Ttn	Fhl2
Slc8a1	Atp2a2
Rad23b	Gnb2l1
Actn2	Lims1
Pygm	Cox8b
Trim63	Ldb3
Adprhl1	Tcap
Myh7	Gja1
Gata4	Id2
Myom1	Mlip
Ankrd1	Myl2
Trim55	Unc45b
Myh6	Gata6
Atp1a1	Atp2a2
Myh6	Hand2
Nppb	Adprhl1
Myom1	Synpo2l
Lmod2	Jph2
Actc1	Nebl
Myh6	Asb2
Mlip	Adprhl1
Ppp1r14c	Mb
Tpm1	Atp2a2
Ttn	Ryr2
Trim63	Myh7
Mlip	Myl2
Actc1	Smyd1
Synpo2l	Mlip
Anxa6	Hspa9
Nkx2-5	Ctnnb1
Myh6	Cap2
Nppb	Myoz2
Ppp1r14c	Csrp3
Pdlim3	Des
Smyd2	Unc45b
Actc1	Myom1
Tpm1	Pygm
Sept7	Bzw1
Atp2a2	Nkx2-5
Nppb	Lmod2
Tns1	Spnb2
Nppb	Actc1
Atp5o	Atp6v0e
Myl9	Unc45b
Myl12b	Unc45b
Actc1	Srl
Myl12a	Unc45b
Actc1	Tbx20
Id2	Nkx2-5
Sept7	Trim55
Ccdc141	Smyd1
Nppb	Casq2
Mmadhc	Vdac3
Col18a1	Hif1a
Ldb3	Spnb2
Csrp3	Nkx2-5
Mlip	Cox8b
Pygm	Lmod2
Gja5	Hey2
Csrp3	Cox8b
Gja5	Ryr2
Mlip	Lmod2
Unc45b	Myl2
Actc1	Lmod2
Myom1	Cap2
Pdlim3	Cox8b
Ttn	Asb2
Synpo2l	Casq2
Atp5o	Ctnnb1
Tead1	Prkar1a
Txndc5	Ssr3
Pygm	Cap2
Ppp1r14c	Myoz2
Cav3	Mlip
Synpo2l	Pygm
Myh7	Mb
Actc1	Vdac3
Srl	Cap2
Actc1	Adprhl1
Smyd1	Csrp3
Pygm	Mlip
Mlip	Myoz2
Ok	Rbpms
Qk	Ptov1
Qk	Rmb24
Rbpms	Dctn6
