gene_id	bundle_id	chr	left	right	FPKM	FPKM_conf_lo	FPKM_conf_hi		chr	left	right	FPKM	FPKM_avg
NM_183322	2235879	chr1	21339757	21342280	0.0477075	0	0.120842		chr1	21339757	21342280	0.0275955	0.0376515
NM_001033904	2235893	chr1	21358411	21359824	0.0779227	0	0.219994		chr1	21358411	21359824	0.0637573	0.07084
NM_023872	2235925	chr1	21388488	21952023	1.6907	1.45955	1.92185		chr1	21388488	21952023	2.24552	1.96811
NM_025746	2236083	chr1	23107312	23109092	0.115489	0	0.234588		chr1	23107312	23109092	0.0747895	0.09513925
NM_001081079	2236555	chr1	23373262	23390014	2.9043	2.54225	3.26634		chr1	23373262	23390014	3.44514	3.17472
NM_172124	2236671	chr1	23768764	23854697	0.54552	0.510996	0.580043		chr1	23768764	23854697	0.322385	0.4339525
NM_028534	2236671	chr1	23852465	23929128	9.44875	8.46048	10.437		chr1	23852465	23929128	11.2934	10.371075
NM_026503	2236707	chr1	24002778	24012479	11.0788	9.17179	12.9858		chr1	24002778	24012479	9.47581	10.277305
NM_026604	2236723	chr1	24017596	24107180	6.21349	5.75517	6.6718		chr1	24017596	24107180	6.75594	6.484715
NM_007740	2236737	chr1	24184448	24259577	0.808288	0.595098	1.02148		chr1	24184448	24259577	1.48437	1.146329
NM_007733	2236739	chr1	24264521	24594276	0.0155536	0	0.0335134		chr1	24264521	24594276	0.0306996	0.0231266
NM_026719	2236783	chr1	24685382	24823146	2.66587	2.3371	2.99464		chr1	24685382	24823146	2.63094	2.648405
NM_175642	2236923	chr1	25124320	25886552	0.118773	0.0501995	0.187347		chr1	25124320	25886552	0.126985	0.122879
NM_001081080	2238213	chr1	30859186	30920101	7.57151	7.10361	8.0394		chr1	30859186	30920101	10.0367	8.804105
NM_011200	2238309	chr1	30997147	31006600	2.23087	2.05241	2.40932		chr1	30997147	31006600	2.13096	2.180915
NR_002688	2238309	chr1	30998436	31006555	1.73235	1.45048	2.01423		chr1	30998436	31006555	1.68241	1.70738
NM_133235	2238667	chr1	32229650	32714583	0.0804348	0	0.194187		chr1	32229650	32714583	0.119071	0.0997529
NM_001164286	2238667	chr1	32600390	32604138	0.0290959	0	0.0702926		chr1	32600390	32604138	0.0820276	0.05556175
NM_008922	2238983	chr1	33510655	33726603	3.5835	2.94753	4.21947		chr1	33510655	33726603	4.42764	4.00557
NM_008999	2239027	chr1	33776740	33799407	1.46936	0.497698	2.44103		chr1	33776740	33799407	2.27297	1.871165
NM_145392	2239039	chr1	33802328	33814595	11.2623	10.0976	12.4271		chr1	33802328	33814595	11.828	11.54515
NM_133817	2239059	chr1	33818597	33871272	3.11461	2.68269	3.54653		chr1	33818597	33871272	3.90136	3.507985
NM_001161816	2239069	chr1	33892743	33895759	1.92248	1.54918	2.29579		chr1	33892743	33895759	1.97859	1.950535
NM_177235	2239085	chr1	33908896	33964466	1.95539	1.52351	2.38726		chr1	33908896	33964466	1.92976	1.942575
NM_134448	2239467	chr1	34068669	34365497	10.1041	9.79578	10.4124		chr1	34068669	34365497	12.9561	11.5301
NM_027159	2239629	chr1	34493515	34496517	5.59389	4.74673	6.44106		chr1	34493515	34496517	4.85936	5.226625
NM_178601	2239631	chr1	34496673	34502592	7.63086	6.7696	8.49213		chr1	34496673	34502592	8.88592	8.25839
NM_011206	2239699	chr1	34516590	34530624	0.52119	0.252049	0.790331		chr1	34516590	34530624	1.06301	0.7921
NM_007685	2239763	chr1	34592492	34601156	0.0526546	0	0.157964		chr1	34592492	34601156	0.0519646	0.0523096
NM_183019	2240469	chr1	34858566	34869599	1.24858	0.931438	1.56572		chr1	34858566	34869599	1.68933	1.468955
NM_174997	2240471	chr1	34870063	34899895	14.7685	13.9667	15.5703		chr1	34870063	34899895	5.6995	10.234
NM_145516	2240473	chr1	34906803	34936430	7.52969	6.82522	8.23416		chr1	34906803	34936430	8.61015	8.06992
NM_015818	2240987	chr1	36125244	36163290	8.16589	7.47295	8.85883		chr1	36125244	36163290	10.8734	9.519645
NM_198899	2241041	chr1	36196873	36301147	4.63255	4.29762	4.96749		chr1	36196873	36301147	6.88879	5.76067
NM_153408	2241055	chr1	36321446	36330270	0.719429	0.472667	0.966191		chr1	36321446	36330270	0.672532	0.6959805
NM_172652	2241179	chr1	36392574	36426026	8.73222	8.09237	9.37206		chr1	36392574	36426026	11.1511	9.94166
NM_001013374	2241237	chr1	36480030	36502084	6.05401	5.28274	6.82527		chr1	36480030	36502084	8.22835	7.14118
NM_033570	2241263	chr1	36528441	36565621	0.843384	0.642784	1.04398		chr1	36528441	36565621	1.40081	1.122097
NM_001039551	2241267	chr1	36568720	36585082	2.13634	1.83901	2.43367		chr1	36568720	36585082	1.41393	1.775135
NM_153502	2241285	chr1	36587378	36592574	1.67826	1.24494	2.11159		chr1	36587378	36592574	2.18076	1.92951
NM_026241	2241307	chr1	36595017	36604046	2.57058	2.00963	3.13153		chr1	36595017	36604046	2.08388	2.32723
NM_001126047	2241311	chr1	36605486	36615226	3.05956	2.64028	3.47883		chr1	36605486	36615226	3.78496	3.42226
NM_027957	2241335	chr1	36619540	36650177	0.181178	0	0.367102		chr1	36619540	36650177	0.41721	0.299194
NM_009942	2241339	chr1	36748331	36750233	142.753	135.347	150.159		chr1	36748331	36750233	159.092	150.9225
NM_146107	2241353	chr1	36756046	36766770	15.5519	14.2725	16.8314		chr1	36756046	36766770	17.4777	16.5148
NM_009539	2241387	chr1	36818705	36839661	0.0250713	0	0.0752139		chr1	36818705	36839661	0.0247428	0.02490705
NM_018872	2241395	chr1	36849033	36996372	5.23723	4.81907	5.65539		chr1	36849033	36996372	8.24511	6.74117
NM_030266	2241515	chr1	37356737	37467578	2.62967	2.30212	2.95722		chr1	37356737	37467578	3.2577	2.943685
NM_172971	2241515	chr1	37426065	37461284	1.19691	1.08524	1.30857		chr1	37426065	37461284	1.0005	1.098705
NM_198006	2241529	chr1	37473930	37486895	15.0365	14.1074	15.9657		chr1	37473930	37486895	18.0611	16.5488
NM_026123	2241531	chr1	37487016	37495969	7.16095	6.10798	8.21392		chr1	37487016	37495969	6.72331	6.94213
NM_173870	2241535	chr1	37496184	37593104	1.49243	1.27736	1.70749		chr1	37496184	37593104	2.00115	1.74679
NR_024017	2241535	chr1	37542695	37545450	1.98573	1.58877	2.38269		chr1	37542695	37545450	1.51931	1.75252
NM_028096	2241559	chr1	37668520	37776656	1.0892	0.855524	1.32287		chr1	37668520	37776656	1.07168	1.08044
NM_207228	2241581	chr1	37811620	37921924	0.498329	0.319324	0.677334		chr1	37811620	37921924	0.555257	0.526793
NM_001037918	2241587	chr1	37929050	37933143	1.61682	1.14004	2.09359		chr1	37929050	37933143	1.42219	1.519505
NM_026913	2241605	chr1	37935734	37947256	3.29089	2.52577	4.05601		chr1	37935734	37947256	2.7211	3.005995
NM_027098	2241607	chr1	37947397	37955178	30.8405	27.7168	33.9642		chr1	37947397	37955178	26.2304	28.53545
NM_172054	2241655	chr1	38040711	38054053	4.37623	3.91997	4.83248		chr1	38040711	38054053	4.2539	4.315065
NM_198303	2241659	chr1	38054854	38112424	7.25923	6.82448	7.69397		chr1	38054854	38112424	10.1272	8.693215
NM_019570	2241659	chr1	38109630	38186507	3.41992	3.29217	3.54766		chr1	38109630	38186507	3.18024	3.30008
NM_010678	2241677	chr1	38234171	38721800	0.945785	0.760301	1.13127		chr1	38234171	38721800	1.33726	1.1415225
NM_001029878	2241721	chr1	38851353	38878060	0.592092	0.432417	0.751767		chr1	38851353	38878060	0.998678	0.795385
NM_145142	2241787	chr1	38920717	38955005	0.429261	0.255801	0.602721		chr1	38920717	38955005	0.276659	0.35296
NM_026850	2241813	chr1	39044658	39054081	13.3101	12.0041	14.6161		chr1	39044658	39054081	13.2625	13.2863
NM_008719	2241855	chr1	39251116	39420085	0.366113	0.227735	0.504491		chr1	39251116	39420085	0.516165	0.441139
NM_053257	2241861	chr1	39424695	39428753	28.2693	26.0576	30.4811		chr1	39424695	39428753	22.3524	25.31085
NM_018775	2241861	chr1	39428343	39535592	2.96522	2.85885	3.07159		chr1	39428343	39535592	3.59996	3.28259
NM_028043	2241915	chr1	39592646	39603722	4.63508	4.06934	5.20083		chr1	39592646	39603722	5.6219	5.12849
NR_028555	2241935	chr1	39605591	39605685	5.23297	1.74432	8.72162		chr1	39605591	39605685	7.45968	6.346325
NM_001033135	2241957	chr1	39608143	39634192	4.69889	4.04883	5.34894		chr1	39608143	39634192	5.5914	5.145145
NM_170597	2241981	chr1	39675250	39708027	0.00942498	0	0.0282749		chr1	39675250	39708027	0.00930147	0.009363225
NM_001145660	2241987	chr1	39722147	39777834	0.136775	0.0144398	0.259111		chr1	39722147	39777834	0.296963	0.216869
NM_008696	2242051	chr1	39957757	40083155	17.4518	16.6278	18.2757		chr1	39957757	40083155	22.1612	19.8065
NM_008362	2242145	chr1	40281924	40373022	1.26901	0.700459	1.83757		chr1	40281924	40373022	1.69047	1.47974
NM_001123382	2242145	chr1	40323430	40373022	0.60212	0.336911	0.867328		chr1	40323430	40373022	0.521422	0.561771
NM_133193	2242149	chr1	40381471	40422316	0.89691	0.579805	1.21402		chr1	40381471	40422316	1.02346	0.960185
NM_001025602	2242205	chr1	40497472	40522259	0.247895	0.144516	0.351274		chr1	40497472	40522259	0.130371	0.189133
NM_001161843	2242207	chr1	40522465	40548423	0.0305167	0	0.0670249		chr1	40522465	40548423	0.0157735	0.0231451
NM_008365	2242207	chr1	40522850	40557698	0.0262956	0.00133034	0.0512609		chr1	40522850	40557698	0.0191552	0.0227254
NM_010553	2242215	chr1	40572206	40606142	0.0440592	0	0.106368		chr1	40572206	40606142	0.0217409	0.03290005
NM_172499	2242237	chr1	40828884	40847502	0.294779	0.15179	0.437768		chr1	40828884	40847502	0.564719	0.429749
NM_001081198	2242241	chr1	40862445	40912112	5.43563	4.39435	6.4769		chr1	40862445	40912112	8.4157	6.925665
NM_008900	2242667	chr1	42753990	42757054	0.107028	0.0196399	0.194415		chr1	42753990	42757054	0.0176042	0.0623161
NM_023514	2242707	chr1	42908077	42962528	13.635	12.1856	15.0844		chr1	42908077	42962528	16.3072	14.9711
NM_053107	2242739	chr1	43009716	43092294	0.0283189	0	0.0683679		chr1	43009716	43092294	0.0139739	0.0211464
NM_001013025	2242741	chr1	43104113	43155467	2.40808	2.09975	2.7164		chr1	43104113	43155467	3.40895	2.908515
NM_133818	2242743	chr1	43155554	43172791	3.39917	2.93553	3.86281		chr1	43155554	43172791	3.71349	3.55633
NM_010212	2242779	chr1	43179918	43220806	46.5078	43.9573	49.0584		chr1	43179918	43220806	51.9377	49.22275
NM_010879	2243265	chr1	43502595	43627363	4.39906	3.81036	4.98776		chr1	43502595	43627363	5.86585	5.132455
NM_024283	2243417	chr1	43787446	43799409	1.10788	0.585621	1.63014		chr1	43787446	43799409	1.09336	1.10062
NM_026430	2243465	chr1	43807075	43884553	3.25753	2.50662	4.00845		chr1	43807075	43884553	3.12034	3.188935
NM_009418	2243529	chr1	43990851	44059816	9.36984	8.70605	10.0336		chr1	43990851	44059816	12.3449	10.85737
NM_001013799	2243567	chr1	44066252	44076851	0.251637	0.026566	0.476707		chr1	44066252	44076851	0.198671	0.225154
NM_029368	2243631	chr1	44143461	44159233	6.13524	5.10552	7.16495		chr1	44143461	44159233	6.73708	6.43616
NM_023645	2243647	chr1	44163390	44175618	7.73737	6.88422	8.59052		chr1	44163390	44175618	9.26065	8.49901
NM_144558	2243653	chr1	44176812	44201616	3.18352	2.74204	3.62499		chr1	44176812	44201616	3.12669	3.155105
NM_011729	2243665	chr1	44204588	44238105	2.72596	2.34045	3.11147		chr1	44204588	44238105	3.51076	3.11836
NM_028450	2243811	chr1	44608515	44853681	3.51695	3.00866	4.02525		chr1	44608515	44853681	3.60683	3.56189
NM_009930	2244009	chr1	45368382	45406550	62.6479	61.0789	64.217		chr1	45368382	45406550	105.542	84.09495
NM_007737	2244117	chr1	45431175	45560127	17.541	16.7796	18.3024		chr1	45431175	45560127	26.9982	22.2696
NM_028599	2244285	chr1	45852345	45880458	5.10499	4.45133	5.75866		chr1	45852345	45880458	5.82297	5.46398
NM_016917	2244341	chr1	45964914	45982439	2.66809	2.25267	3.08351		chr1	45964914	45982439	2.42567	2.54688
NM_001160386	2244431	chr1	46123582	46430395	0.459321	0.369032	0.54961		chr1	46123582	46430395	0.354627	0.406974
NM_172653	2244807	chr1	46864388	46910354	6.12225	5.60283	6.64167		chr1	46864388	46910354	7.52793	6.82509
NM_019790	2245913	chr1	50984366	51244114	0.212795	0.0947574	0.330832		chr1	50984366	51244114	0.210006	0.2114005
NM_138741	2245975	chr1	51345969	51359804	35.8168	34.2158	37.4177		chr1	51345969	51359804	38.4196	37.1182
NM_028696	2246129	chr1	51526331	51535243	3.25468	2.75396	3.7554		chr1	51526331	51535243	3.42109	3.337885
NM_010863	2246257	chr1	51806615	51972818	1.32408	0.542853	2.10531		chr1	51806615	51972818	3.39245	2.358265
NM_001161817	2246257	chr1	51806615	51972818	3.95267	1.61299	6.29235		chr1	51806615	51972818	3.88663	3.91965
NM_011487	2246305	chr1	52065087	52164028	0.183346	0.0673878	0.299304		chr1	52065087	52164028	0.41617	0.299758
NM_009283	2246313	chr1	52176281	52218707	2.58148	2.25096	2.91201		chr1	52176281	52218707	3.64398	3.11273
NM_001081081	2246325	chr1	52220293	52290076	3.66219	3.44907	3.8753		chr1	52220293	52290076	5.19119	4.42669
NM_001113383	2246325	chr1	52242124	52290076	8.75408	8.15267	9.35549		chr1	52242124	52290076	9.18385	8.968965
NM_008667	2246427	chr1	52512693	52557292	5.14849	4.67811	5.61888		chr1	52512693	52557292	6.15673	5.65261
NR_024590	2246629	chr1	52687548	52708763	0.498267	0.0834282	0.913106		chr1	52687548	52708763	2.07023	1.2842485
NM_133829	2246639	chr1	52713147	52784162	1.86768	1.57511	2.16026		chr1	52713147	52784162	3.25671	2.562195
NM_008384	2246711	chr1	52846263	52874532	2.43392	1.88625	2.9816		chr1	52846263	52874532	3.19257	2.813245
NM_146108	2246751	chr1	52901889	52977704	6.1096	5.22425	6.99496		chr1	52901889	52977704	5.44405	5.776825
NM_144953	2246785	chr1	52981970	53009684	0.131068	0	0.316427		chr1	52981970	53009684	0.0646754	0.0978717
NM_010834	2246807	chr1	53118506	53124923	0.713252	0.472129	0.954375		chr1	53118506	53124923	0.905021	0.8091365
NM_153556	2246881	chr1	53246031	53353840	1.61386	1.27267	1.95504		chr1	53246031	53353840	1.53044	1.57215
NM_145517	2246883	chr1	53353938	53367089	3.69057	3.02946	4.35169		chr1	53353938	53367089	3.65105	3.67081
NM_028091	2246901	chr1	53370506	53380908	2.87277	2.34827	3.39726		chr1	53370506	53380908	3.78018	3.326475
NM_133728	2246951	chr1	53401487	53409543	12.2044	11.1416	13.2672		chr1	53401487	53409543	11.7477	11.97605
NM_133810	2247323	chr1	53812355	53842059	2.50101	2.0926	2.90943		chr1	53812355	53842059	2.83025	2.66563
NM_001001883	2247339	chr1	53863717	54251878	1.82853	1.63943	2.01763		chr1	53863717	54251878	2.14572	1.987125
NM_030025	2247357	chr1	54307526	54425571	0.0287131	0	0.0693197		chr1	54307526	54425571	0.0566738	0.04269345
NM_001033194	2247419	chr1	54454424	54495815	2.88499	2.42685	3.34313		chr1	54454424	54495815	3.8929	3.388945
NM_001163314	2247509	chr1	54537551	54614526	1.29542	0.981238	1.60961		chr1	54537551	54614526	1.60744	1.45143
NM_001081433	2247569	chr1	54702183	54983202	1.83515	1.58004	2.09025		chr1	54702183	54983202	1.95984	1.897495
NM_031179	2247629	chr1	55042012	55084322	24.5733	23.6419	25.5048		chr1	55042012	55084322	29.3994	26.98635
NM_026424	2247647	chr1	55109613	55129546	1.19394	0.42186	1.96601		chr1	55109613	55129546	0.591812	0.892876
NM_001039710	2247647	chr1	55109613	55129546	1.32553	0.465673	2.18538		chr1	55109613	55129546	2.00465	1.66509
NM_010477	2247671	chr1	55134677	55144776	35.6321	33.8044	37.4598		chr1	55134677	55144776	49.2639	42.448
NM_008303	2247673	chr1	55144991	55148161	32.7522	29.6988	35.8057		chr1	55144991	55148161	25.3479	29.05005
NM_025283	2247723	chr1	55188088	55211743	12.787	11.7924	13.7816		chr1	55188088	55211743	10.5486	11.6678
NM_028713	2247785	chr1	55227003	55283626	2.23286	1.86845	2.59727		chr1	55227003	55283626	2.48201	2.357435
NM_175439	2247817	chr1	55294020	55296902	1.47922	1.14425	1.8142		chr1	55294020	55296902	2.32077	1.899995
NM_029267	2247927	chr1	55356912	55420313	0.105921	0	0.255717		chr1	55356912	55420313	0.0522667	0.07909385
NM_001114663	2247953	chr1	55462789	55811129	0.575321	0.4368	0.713842		chr1	55462789	55811129	0.64184	0.6085805
NM_139146	2248153	chr1	56850824	57028178	0.062038	0.0113842	0.112692		chr1	56850824	57028178	0.183675	0.1228565
NR_024325	2248155	chr1	57028312	57032039	0.0505069	0	0.105321		chr1	57028312	57032039	0.0289451	0.039726
NM_028546	2248297	chr1	57434463	57442264	1.40926	1.08906	1.72946		chr1	57434463	57442264	1.66	1.53463
NM_001081181	2248311	chr1	57463391	57472802	7.58839	6.56392	8.61286		chr1	57463391	57472802	7.11573	7.35206
NM_144882	2248469	chr1	57831704	58005241	3.10691	1.62369	4.59014		chr1	57831704	58005241	2.74021	2.92356
NM_001164566	2248469	chr1	57902414	58005241	0.664157	0.351373	0.976942		chr1	57902414	58005241	1.2717	0.9679285
NM_001159864	2248497	chr1	58011944	58026928	0.542728	0.170659	0.914797		chr1	58011944	58026928	0.657161	0.5999445
NR_027630	2248497	chr1	58011944	58026368	0.531736	0.236558	0.826915		chr1	58011944	58026368	1.26692	0.899328
NM_030211	2248497	chr1	58016897	58026928	0.284622	0.233148	0.336096		chr1	58016897	58026928	0.254812	0.269717
NM_199007	2248505	chr1	58052817	58083121	5.5761	5.09714	6.05506		chr1	58052817	58083121	7.40914	6.49262
NM_009676	2248515	chr1	58086812	58163254	0.236982	0.128247	0.345716		chr1	58086812	58163254	0.332292	0.284637
NM_023631	2248521	chr1	58267240	58325440	0.0219853	0	0.0530772		chr1	58267240	58325440	0.0108486	0.01641695
NM_025824	2248591	chr1	58449979	58463392	22.4499	21.1337	23.7661		chr1	58449979	58463392	24.6802	23.56505
NR_027854	2248611	chr1	58468831	58480932	10.0904	8.99532	11.1855		chr1	58468831	58480932	11.5371	10.81375
NM_001042634	2248611	chr1	58468831	58480932	13.6604	12.2118	15.1091		chr1	58468831	58480932	17.832	15.7462
NM_027351	2248659	chr1	58487836	58502330	7.06261	5.70708	8.41814		chr1	58487836	58502330	5.99718	6.529895
NM_027374	2248659	chr1	58490630	58502330	0.642917	0.564785	0.72105		chr1	58490630	58502330	0.790487	0.716702
NM_022988	2248665	chr1	58504476	58519120	5.03474	4.31179	5.75769		chr1	58504476	58519120	4.89193	4.963335
NM_008765	2248671	chr1	58519614	58561763	4.63434	3.81827	5.45041		chr1	58519614	58561763	4.57075	4.602545
NM_001025378	2248671	chr1	58521047	58558260	1.91709	1.62318	2.21099		chr1	58521047	58558260	2.01705	1.96707
NM_172513	2248727	chr1	58579649	58643177	1.18803	1.01519	1.36086		chr1	58579649	58643177	1.09181	1.13992
NM_025597	2248731	chr1	58643442	58652792	31.5332	27.9335	35.133		chr1	58643442	58652792	31.7533	31.64325
NM_207653	2248827	chr1	58770129	58815726	3.03798	2.71788	3.35807		chr1	58770129	58815726	3.75311	3.395545
NM_009805	2248827	chr1	58770129	58790071	0.973792	0.901768	1.04582		chr1	58770129	58790071	0.709369	0.8415805
NM_009812	2248869	chr1	58852217	58904347	3.03344	2.34374	3.72314		chr1	58852217	58904347	3.65332	3.34338
NM_001080126	2248869	chr1	58859345	58904347	0.464604	0.377637	0.551571		chr1	58859345	58904347	0.308748	0.386676
NM_172406	2248931	chr1	58957293	59030326	16.3126	15.5566	17.0686		chr1	58957293	59030326	19.3633	17.83795
NM_172656	2248933	chr1	59030414	59051965	3.37321	2.80905	3.93738		chr1	59030414	59051965	3.70149	3.53735
NM_001033449	2248967	chr1	59157436	59176940	1.23814	0.585729	1.89055		chr1	59157436	59176940	2.13678	1.68746
NM_028717	2248971	chr1	59219599	59294075	2.42559	2.14022	2.71095		chr1	59219599	59294075	2.56775	2.49667
NM_008057	2249037	chr1	59538990	59543799	1.34905	1.1014	1.5967		chr1	59538990	59543799	1.69157	1.52031
NM_009460	2249069	chr1	59696277	59727678	20.2155	18.3083	22.1227		chr1	59696277	59727678	18.9886	19.60205
NM_018868	2249117	chr1	59741849	59768354	20.3158	18.8166	21.8151		chr1	59741849	59768354	22.3698	21.3428
NM_007561	2249233	chr1	59821480	59927703	12.5143	11.6311	13.3976		chr1	59821480	59927703	15.5186	14.01645
NM_001037725	2249343	chr1	59969849	60042190	2.66261	2.33823	2.987		chr1	59969849	60042190	2.79348	2.728045
